Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Acımak,1985,6,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,7.0,1
Aşk-ı Memnu,1975,11,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,6,6.0,1
Ateşten Günler,0,14,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,4.0,1
Aynalı Tahir,1998,12,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,45,175,35.0,5
Ayrılsak da Beraberiz,1999,21,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,490,98.0,5
Ayşecik,1997,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,184,92.0,2
Baba Evi,1997,8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,135,34.0,4
Başka Olur Ağaların Düğünü,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5.0,1
Bizimkiler,1989,10,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,50,459,31.0,15
Bizim Aile,1997,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,45,30,30.0,1
Bizim Ev,1996,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,101,34.0,3
Bizim Kuruntu Ailesi,1997,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,47,24.0,2
Bizim Mahalle,1994,13,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,510,64.0,8
Böyle mi Olacaktı,1997,17,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,45,167,28.0,6
Bugünün Saraylısı,1985,17,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,4.0,1
Bücür Cadı,1999,10,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,25,169,169.0,1
Canısı,1997,6,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,40,26,26.0,1
Çarli,1998,5,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,45,24,12.0,2
Çalıkuşu,1986,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,7.0,1
Çılgın Bediş,1996,12,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,40,70,18.0,4
Çiçek Taksi,1995,11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,45,367,52.0,7
Deli Yürek,1998,10,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,60,113,28.0,4
Dokuzuncu Hariciye Koğuşu,1986,25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,215,4,4.0,1
Eltiler,1998,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,126,63.0,2
