Dizinin_İsmi,Dizinin_Başlangıç_Yılı,Dizinin_isminin_uzunluğu,Romantik,Dram,Gençlik,Komedi,Macera,KanalD,StarTV,TRT1,ATV,ShowTV,Fox,SamanyoluTV,TV8,Televizyon_Dizisi,İnternet_Dizisi,Bölüm_Süresi,Toplam_Bölüm_Sayısı,Sezon_Başına_Bölüm_Sayısı,Sezon_Sayısı
Acı Aşk,2015,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,13,13.0,1
Acil Aşk Aranıyor,2015,17,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,120,24,12.0,2
Acil Servis,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Adı Mutluluk,2015,12,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,100,17,17.0,1
Analar ve Anneler,2015,17,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,90,9,9.0,1
Asla Vazgeçmem,2015,14,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,120,59,20.0,3
Aşk Yeniden,2015,11,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,120,59,30.0,2
Aşk ve Günah,2015,12,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,120,120.0,1
Aşkların En Güzeli,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1
Aşk Zamanı,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1
Ayrılsak da Beraberiz,2015,21,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,90,14,14.0,1
Azim Kahramanı Ayşe,2015,19,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,100,4,4.0,1
Baba Candır,2015,11,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,115,66,33.0,2
Bana Baba Dedi,2015,14,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,120,7,7.0,1
Bedel,2015,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,120,20,20.0,1
Beş Kardeş,2015,10,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,100,13,13.0,1
Beyaz Yalan,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1
Bir Deniz Hikâyesi,2015,18,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,120,8,8.0,1
Bir Modern Habil Kabil Hikâyesi,2015,31,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,50,3,3.0,1
Buyur Bi'De Burdan Bak,2015,22,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,90,24,12.0,2
